word,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5,num_item_id
ride,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,465
show,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,472
spill,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,479
swing (action),The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,486
tickle,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,493
wipe,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,500
bad,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,507
careful,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,514
empty,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,521
green,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,528
hurt,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,535
new,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,542
quiet,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,549
soft,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,556
white,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,563
later,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,570
tonight,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,577
I,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,584
she,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,591
those,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,598
what,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,605
above,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,612
by,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,619
of,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,626
to,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,633
an,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,640
none,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,647
am,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,654
does,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,661
need/need to,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,668
and,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general,675
Five + 2 is seven,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
The word blue has four letters,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Triangles have four sides,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
An elephant is smaller than a mouse,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Four is larger than two,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
