word,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5,num_item_id
brown,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,513
dry (description),The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,520
good,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,527
hungry,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,534
naughty,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,541
pretty,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,548
slow,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,555
wet,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,562
day,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,569
tomorrow,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,576
his,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,583
our,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,590
this,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,597
how,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,604
about,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,611
beside,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,618
next to,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,625
there,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,632
a lot,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,639
much,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,646
too,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,653
do,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,660
lemme/let me,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,667
would,The meaning, is... ,hypernymy,3,(1) Very specific/narrow,(2),(3),(4),(5) Very general,674
Five + 2 is seven,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree
The word blue has four letters,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree
Triangles have four sides,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree
An elephant is smaller than a mouse,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree
Four is larger than two,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree
